"Index","x","lag100"
Aug 1764,30,9.4
Sep 1764,28.2,12.5
Oct 1764,28,12.9
Nov 1764,26,3.6
Dec 1764,25.7,6.4
Jan 1765,24,11.8
Feb 1765,26,14.3
Mar 1765,25,17
Apr 1765,22,9.4
May 1765,20.2,14.1
Jun 1765,20,21.2
Jul 1765,27,26.2
Aug 1765,29.7,30
Sep 1765,16,38.1
Oct 1765,14,12.8
Nov 1765,14,25
Dec 1765,13,51.3
Jan 1766,12,39.7
Feb 1766,11,32.5
Mar 1766,36.6,64.7
Apr 1766,6,33.5
May 1766,26.8,37.6
Jun 1766,3,52
Jul 1766,3.3,49
Aug 1766,4,72.3
Sep 1766,4.3,46.4
Oct 1766,5,45
Nov 1766,5.7,44
Dec 1766,19.2,38.7
Jan 1767,27.4,62.5
Feb 1767,30,37.7
Mar 1767,43,43
Apr 1767,32.9,43
May 1767,29.8,48.3
Jun 1767,33.3,44
Jul 1767,21.9,46.8
Aug 1767,40.8,47
Sep 1767,42.7,49
Oct 1767,44.1,50
Nov 1767,54.7,51
Dec 1767,53.3,71.3
Jan 1768,53.5,77.2
Feb 1768,66.1,59.7
Mar 1768,46.3,46.3
Apr 1768,42.7,57
May 1768,77.7,67.3
Jun 1768,77.4,59.5
Jul 1768,52.6,74.7
Aug 1768,66.8,58.3
Sep 1768,74.8,72
Oct 1768,77.8,48.3
Nov 1768,90.6,66
Dec 1768,111.8,75.6
Jan 1769,73.9,61.3
Feb 1769,64.2,50.6
Mar 1769,64.3,59.7
Apr 1769,96.7,61
May 1769,73.6,70
Jun 1769,94.4,91
Jul 1769,118.6,80.7
Aug 1769,120.3,71.7
Sep 1769,148.8,107.2
Oct 1769,158.2,99.3
Nov 1769,148.1,94.1
Dec 1769,112,91.1
Jan 1770,104,100.7
Feb 1770,142.5,88.7
Mar 1770,80.1,89.7
Apr 1770,51,46
May 1770,70.1,43.8
Jun 1770,83.3,72.8
Jul 1770,109.8,45.7
Aug 1770,126.3,60.2
Sep 1770,104.4,39.9
Oct 1770,103.6,77.1
Nov 1770,132.2,33.8
Dec 1770,102.3,67.7
Jan 1771,36,68.5
Feb 1771,46.2,69.3
Mar 1771,46.7,77.8
Apr 1771,64.9,77.2
May 1771,152.7,56.5
Jun 1771,119.5,31.9
Jul 1771,67.7,34.2
Aug 1771,58.5,32.9
Sep 1771,101.4,32.7
Oct 1771,90,35.8
Nov 1771,99.7,54.2
Dec 1771,95.7,26.5
Jan 1772,100.9,68.1
Feb 1772,90.8,46.3
Mar 1772,31.1,60.9
Apr 1772,92.2,61.4
May 1772,38,59.7
Jun 1772,57,59.7
Jul 1772,77.3,40.2
Aug 1772,56.2,34.4
Sep 1772,50.5,44.3
Oct 1772,78.6,30
Nov 1772,61.3,30
Dec 1772,64,30
Jan 1773,54.6,28.2
Feb 1773,29,28
Mar 1773,51.2,26
Apr 1773,32.9,25.7
May 1773,41.1,24
Jun 1773,28.4,26
Jul 1773,27.7,25
Aug 1773,12.7,22
Sep 1773,29.3,20.2
Oct 1773,26.3,20
Nov 1773,40.9,27
Dec 1773,43.2,29.7
Jan 1774,46.8,16
Feb 1774,65.4,14
Mar 1774,55.7,14
Apr 1774,43.8,13
May 1774,51.3,12
Jun 1774,28.5,11
Jul 1774,17.5,36.6
Aug 1774,6.6,6
Sep 1774,7.9,26.8
Oct 1774,14,3
Nov 1774,17.7,3.3
Dec 1774,12.2,4
Jan 1775,4.4,4.3
Feb 1775,0,5
Mar 1775,11.6,5.7
Apr 1775,11.2,19.2
May 1775,3.9,27.4
Jun 1775,12.3,30
Jul 1775,1,43
Aug 1775,7.9,32.9
Sep 1775,3.2,29.8
Oct 1775,5.6,33.3
Nov 1775,15.1,21.9
Dec 1775,7.9,40.8
Jan 1776,21.7,42.7
Feb 1776,11.6,44.1
Mar 1776,6.3,54.7
Apr 1776,21.8,53.3
May 1776,11.2,53.5
Jun 1776,19,66.1
Jul 1776,1,46.3
Aug 1776,24.2,42.7
Sep 1776,16,77.7
Oct 1776,30,77.4
Nov 1776,35,52.6
Dec 1776,40,66.8
Jan 1777,45,74.8
Feb 1777,36.5,77.8
Mar 1777,39,90.6
Apr 1777,95.5,111.8
May 1777,80.3,73.9
Jun 1777,80.7,64.2
Jul 1777,95,64.3
Aug 1777,112,96.7
Sep 1777,116.2,73.6
Oct 1777,106.5,94.4
Nov 1777,146,118.6
Dec 1777,157.3,120.3
Jan 1778,177.3,148.8
Feb 1778,109.3,158.2
Mar 1778,134,148.1
Apr 1778,145,112
May 1778,238.9,104
Jun 1778,171.6,142.5
Jul 1778,153,80.1
Aug 1778,140,51
Sep 1778,171.7,70.1
Oct 1778,156.3,83.3
Nov 1778,150.3,109.8
Dec 1778,105,126.3
Jan 1779,114.7,104.4
Feb 1779,165.7,103.6
Mar 1779,118,132.2
Apr 1779,145,102.3
May 1779,140,36
Jun 1779,113.7,46.2
Jul 1779,143,46.7
Aug 1779,112,64.9
Sep 1779,111,152.7
Oct 1779,124,119.5
Nov 1779,114,67.7
Dec 1779,110,58.5
Jan 1780,70,101.4
Feb 1780,98,90
Mar 1780,98,99.7
Apr 1780,95,95.7
May 1780,107.2,100.9
Jun 1780,88,90.8
Jul 1780,86,31.1
Aug 1780,86,92.2
Sep 1780,93.7,38
Oct 1780,77,57
Nov 1780,60,77.3
Dec 1780,58.7,56.2
Jan 1781,98.7,50.5
Feb 1781,74.7,78.6
Mar 1781,53,61.3
Apr 1781,68.3,64
May 1781,104.7,54.6
Jun 1781,97.7,29
Jul 1781,73.5,51.2
Aug 1781,66,32.9
Sep 1781,51,41.1
Oct 1781,27.3,28.4
Nov 1781,67,27.7
Dec 1781,35.2,12.7
Jan 1782,54,29.3
Feb 1782,37.5,26.3
Mar 1782,37,40.9
Apr 1782,41,43.2
May 1782,54.3,46.8
Jun 1782,38,65.4
Jul 1782,37,55.7
Aug 1782,44,43.8
Sep 1782,34,51.3
Oct 1782,23.2,28.5
Nov 1782,31.5,17.5
Dec 1782,30,6.6
Jan 1783,28,7.9
Feb 1783,38.7,14
Mar 1783,26.7,17.7
Apr 1783,28.3,12.2
May 1783,23,4.4
Jun 1783,25.2,0
Jul 1783,32.2,11.6
Aug 1783,20,11.2
Sep 1783,18,3.9
Oct 1783,8,12.3
Nov 1783,15,1
Dec 1783,10.5,7.9
Jan 1784,13,3.2
Feb 1784,8,5.6
Mar 1784,11,15.1
Apr 1784,10,7.9
May 1784,6,21.7
Jun 1784,9,11.6
Jul 1784,6,6.3
Aug 1784,10,21.8
Sep 1784,10,11.2
Oct 1784,8,19
Nov 1784,17,1
Dec 1784,14,24.2
Jan 1785,6.5,16
Feb 1785,8,30
Mar 1785,9,35
Apr 1785,15.7,40
May 1785,20.7,45
Jun 1785,26.3,36.5
Jul 1785,36.3,39
Aug 1785,20,95.5
Sep 1785,32,80.3
Oct 1785,47.2,80.7
Nov 1785,40.2,95
Dec 1785,27.3,112
Jan 1786,37.2,116.2
Feb 1786,47.6,106.5
Mar 1786,47.7,146
Apr 1786,85.4,157.3
May 1786,92.3,177.3
Jun 1786,59,109.3
Jul 1786,83,134
Aug 1786,89.7,145
Sep 1786,111.5,238.9
Oct 1786,112.3,171.6
Nov 1786,116,153
Dec 1786,112.7,140
Jan 1787,134.7,171.7
Feb 1787,106,156.3
Mar 1787,87.4,150.3
Apr 1787,127.2,105
May 1787,134.8,114.7
Jun 1787,99.2,165.7
Jul 1787,128,118
Aug 1787,137.2,145
Sep 1787,157.3,140
Oct 1787,157,113.7
Nov 1787,141.5,143
Dec 1787,174,112
Jan 1788,138,111
Feb 1788,129.2,124
Mar 1788,143.3,114
Apr 1788,108.5,110
May 1788,113,70
Jun 1788,154.2,98
Jul 1788,141.5,98
Aug 1788,136,95
Sep 1788,141,107.2
Oct 1788,142,88
Nov 1788,94.7,86
Dec 1788,129.5,86
Jan 1789,114,93.7
Feb 1789,125.3,77
Mar 1789,120,60
Apr 1789,123.3,58.7
May 1789,123.5,98.7
Jun 1789,120,74.7
Jul 1789,117,53
Aug 1789,103,68.3
Sep 1789,112,104.7
Oct 1789,89.7,97.7
Nov 1789,134,73.5
Dec 1789,135.5,66
Jan 1790,103,51
Feb 1790,127.5,27.3
Mar 1790,96.3,67
Apr 1790,94,35.2
May 1790,93,54
Jun 1790,91,37.5
Jul 1790,69.3,37
Aug 1790,87,41
Sep 1790,77.3,54.3
Oct 1790,84.3,38
Nov 1790,82,37
Dec 1790,74,44
Jan 1791,72.7,34
Feb 1791,62,23.2
Mar 1791,74,31.5
Apr 1791,77.2,30
May 1791,73.7,28
Jun 1791,64.2,38.7
Jul 1791,71,26.7
Aug 1791,43,28.3
Sep 1791,66.5,23
Oct 1791,61.7,25.2
Nov 1791,67,32.2
Dec 1791,66,20
Jan 1792,58,18
Feb 1792,64,8
Mar 1792,63,15
Apr 1792,75.7,10.5
May 1792,62,13
Jun 1792,61,8
Jul 1792,45.8,11
Aug 1792,60,10
Sep 1792,59,6
Oct 1792,59,9
Nov 1792,57,6
Dec 1792,56,10
Jan 1793,56,10
Feb 1793,55,8
Mar 1793,55.5,17
Apr 1793,53,14
May 1793,52.3,6.5
Jun 1793,51,8
Jul 1793,50,9
Aug 1793,29.3,15.7
Sep 1793,24,20.7
Oct 1793,47,26.3
Nov 1793,44,36.3
Dec 1793,45.7,20
Jan 1794,45,32
Feb 1794,44,47.2
Mar 1794,38,40.2
Apr 1794,28.4,27.3
May 1794,55.7,37.2
Jun 1794,41.5,47.6
Jul 1794,41,47.7
Aug 1794,40,85.4
Sep 1794,11.1,92.3
Oct 1794,28.5,59
Nov 1794,67.4,83
Dec 1794,51.4,89.7
Jan 1795,21.4,111.5
Feb 1795,39.9,112.3
Mar 1795,12.6,116
Apr 1795,18.6,112.7
May 1795,31,134.7
Jun 1795,17.1,106
Jul 1795,12.9,87.4
Aug 1795,25.7,127.2
Sep 1795,13.5,134.8
Oct 1795,19.5,99.2
Nov 1795,25,128
Dec 1795,18,137.2
Jan 1796,22,157.3
Feb 1796,23.8,157
Mar 1796,15.7,141.5
Apr 1796,31.7,174
May 1796,21,138
Jun 1796,6.7,129.2
Jul 1796,26.9,143.3
Aug 1796,1.5,108.5
Sep 1796,18.4,113
Oct 1796,11,154.2
Nov 1796,8.4,141.5
Dec 1796,5.1,136
Jan 1797,14.4,141
Feb 1797,4.2,142
Mar 1797,4,94.7
Apr 1797,4,129.5
May 1797,7.3,114
Jun 1797,11.1,125.3
Jul 1797,4.3,120
Aug 1797,6,123.3
Sep 1797,5.7,123.5
Oct 1797,6.9,120
Nov 1797,5.8,117
Dec 1797,3,103
Jan 1798,2,112
Feb 1798,4,89.7
Mar 1798,12.4,134
Apr 1798,1.1,135.5
May 1798,0,103
Jun 1798,0,127.5
Jul 1798,0,96.3
Aug 1798,3,94
Sep 1798,2.4,93
Oct 1798,1.5,91
Nov 1798,12.5,69.3
Dec 1798,9.9,87
Jan 1799,1.6,77.3
Feb 1799,12.6,84.3
Mar 1799,21.7,82
Apr 1799,8.4,74
May 1799,8.2,72.7
Jun 1799,10.6,62
Jul 1799,2.1,74
Aug 1799,0,77.2
Sep 1799,0,73.7
Oct 1799,4.6,64.2
Nov 1799,2.7,71
Dec 1799,8.6,43
Jan 1800,6.9,66.5
Feb 1800,9.3,61.7
Mar 1800,13.9,67
Apr 1800,0,66
May 1800,5,58
Jun 1800,23.7,64
Jul 1800,21,63
Aug 1800,19.5,75.7
Sep 1800,11.5,62
Oct 1800,12.3,61
Nov 1800,10.5,45.8
Dec 1800,40.1,60
Jan 1801,27,59
Feb 1801,29,59
Mar 1801,30,57
Apr 1801,31,56
May 1801,32,56
Jun 1801,31.2,55
Jul 1801,35,55.5
Aug 1801,38.7,53
Sep 1801,33.5,52.3
Oct 1801,32.6,51
Nov 1801,39.8,50
Dec 1801,48.2,29.3
Jan 1802,47.8,24
Feb 1802,47,47
Mar 1802,40.8,44
Apr 1802,42,45.7
May 1802,44,45
Jun 1802,46,44
Jul 1802,48,38
Aug 1802,50,28.4
Sep 1802,51.8,55.7
Oct 1802,38.5,41.5
Nov 1802,34.5,41
Dec 1802,50,40
Jan 1803,50,11.1
Feb 1803,50.8,28.5
Mar 1803,29.5,67.4
Apr 1803,25,51.4
May 1803,44.3,21.4
Jun 1803,36,39.9
Jul 1803,48.3,12.6
Aug 1803,34.1,18.6
Sep 1803,45.3,31
Oct 1803,54.3,17.1
Nov 1803,51,12.9
Dec 1803,48,25.7
Jan 1804,45.3,13.5
Feb 1804,48.3,19.5
Mar 1804,48,25
Apr 1804,50.6,18
May 1804,33.4,22
Jun 1804,34.8,23.8
Jul 1804,29.8,15.7
Aug 1804,43.1,31.7
Sep 1804,53,21
Oct 1804,62.3,6.7
Nov 1804,61,26.9
Dec 1804,60,1.5
Jan 1805,61,18.4
Feb 1805,44.1,11
Mar 1805,51.4,8.4
Apr 1805,37.5,5.1
May 1805,39,14.4
Jun 1805,40.5,4.2
Jul 1805,37.6,4
Aug 1805,42.7,4
Sep 1805,44.4,7.3
Oct 1805,29.4,11.1
Nov 1805,41,4.3
Dec 1805,38.3,6
Jan 1806,39,5.7
Feb 1806,29.6,6.9
Mar 1806,32.7,5.8
Apr 1806,27.7,3
May 1806,26.4,2
Jun 1806,25.6,4
Jul 1806,30,12.4
Aug 1806,26.3,1.1
Sep 1806,24,0
Oct 1806,27,0
Nov 1806,25,0
Dec 1806,24,3
Jan 1807,12,2.4
Feb 1807,12.2,1.5
Mar 1807,9.6,12.5
Apr 1807,23.8,9.9
May 1807,10,1.6
Jun 1807,12,12.6
Jul 1807,12.7,21.7
Aug 1807,12,8.4
Sep 1807,5.7,8.2
Oct 1807,8,10.6
Nov 1807,2.6,2.1
Dec 1807,0,0
Jan 1808,0,0
Feb 1808,4.5,4.6
Mar 1808,0,2.7
Apr 1808,12.3,8.6
May 1808,13.5,6.9
Jun 1808,13.5,9.3
Jul 1808,6.7,13.9
Aug 1808,8,0
Sep 1808,11.7,5
Oct 1808,4.7,23.7
Nov 1808,10.5,21
Dec 1808,12.3,19.5
Jan 1809,7.2,11.5
Feb 1809,9.2,12.3
Mar 1809,0.9,10.5
Apr 1809,2.5,40.1
May 1809,2,27
Jun 1809,7.7,29
Jul 1809,0.3,30
Aug 1809,0.2,31
Sep 1809,0.4,32
Oct 1809,0,31.2
Nov 1809,0,35
Dec 1809,0,38.7
Jan 1810,0,33.5
Feb 1810,0,32.6
Mar 1810,0,39.8
Apr 1810,0,48.2
May 1810,0,47.8
Jun 1810,0,47
Jul 1810,0,40.8
Aug 1810,0,42
Sep 1810,0,44
Oct 1810,0,46
Nov 1810,0,48
Dec 1810,0,50
Jan 1811,0,51.8
Feb 1811,0,38.5
Mar 1811,0,34.5
Apr 1811,0,50
May 1811,0,50
Jun 1811,0,50.8
Jul 1811,6.6,29.5
Aug 1811,0,25
Sep 1811,2.4,44.3
Oct 1811,6.1,36
Nov 1811,0.8,48.3
Dec 1811,1.1,34.1
Jan 1812,11.3,45.3
Feb 1812,1.9,54.3
Mar 1812,0.7,51
Apr 1812,0,48
May 1812,1,45.3
Jun 1812,1.3,48.3
Jul 1812,0.5,48
Aug 1812,15.6,50.6
Sep 1812,5.2,33.4
Oct 1812,3.9,34.8
Nov 1812,7.9,29.8
Dec 1812,10.1,43.1
Jan 1813,0,53
Feb 1813,10.3,62.3
Mar 1813,1.9,61
Apr 1813,16.6,60
May 1813,5.5,61
Jun 1813,11.2,44.1
Jul 1813,18.3,51.4
Aug 1813,8.4,37.5
Sep 1813,15.3,39
Oct 1813,27.8,40.5
Nov 1813,16.7,37.6
Dec 1813,14.3,42.7
Jan 1814,22.2,44.4
Feb 1814,12,29.4
Mar 1814,5.7,41
Apr 1814,23.8,38.3
May 1814,5.8,39
Jun 1814,14.9,29.6
Jul 1814,18.5,32.7
Aug 1814,2.3,27.7
Sep 1814,8.1,26.4
Oct 1814,19.3,25.6
Nov 1814,14.5,30
Dec 1814,20.1,26.3
Jan 1815,19.2,24
Feb 1815,32.2,27
Mar 1815,26.2,25
Apr 1815,31.6,24
May 1815,9.8,12
Jun 1815,55.9,12.2
Jul 1815,35.5,9.6
Aug 1815,47.2,23.8
Sep 1815,31.5,10
Oct 1815,33.5,12
Nov 1815,37.2,12.7
Dec 1815,65,12
Jan 1816,26.3,5.7
Feb 1816,68.8,8
Mar 1816,73.7,2.6
Apr 1816,58.8,0
May 1816,44.3,0
Jun 1816,43.6,4.5
Jul 1816,38.8,0
Aug 1816,23.2,12.3
Sep 1816,47.8,13.5
Oct 1816,56.4,13.5
Nov 1816,38.1,6.7
Dec 1816,29.9,8
Jan 1817,36.4,11.7
Feb 1817,57.9,4.7
Mar 1817,96.2,10.5
Apr 1817,26.4,12.3
May 1817,21.2,7.2
Jun 1817,40,9.2
Jul 1817,50,0.9
Aug 1817,45,2.5
Sep 1817,36.7,2
Oct 1817,25.6,7.7
Nov 1817,28.9,0.3
Dec 1817,28.4,0.2
Jan 1818,34.9,0.4
Feb 1818,22.4,0
Mar 1818,25.4,0
Apr 1818,34.5,0
May 1818,53.1,0
Jun 1818,36.4,0
Jul 1818,28,0
Aug 1818,31.5,0
Sep 1818,26.1,0
Oct 1818,31.7,0
Nov 1818,10.9,0
Dec 1818,25.8,0
Jan 1819,32.5,0
Feb 1819,20.7,0
Mar 1819,3.7,0
Apr 1819,20.2,0
May 1819,19.6,0
Jun 1819,35,0
Jul 1819,31.4,0
Aug 1819,26.1,0
Sep 1819,14.9,0
Oct 1819,27.5,0
Nov 1819,25.1,6.6
Dec 1819,30.6,0
Jan 1820,19.2,2.4
Feb 1820,26.6,6.1
Mar 1820,4.5,0.8
Apr 1820,19.4,1.1
May 1820,29.3,11.3
Jun 1820,10.8,1.9
Jul 1820,20.6,0.7
Aug 1820,25.9,0
Sep 1820,5.2,1
Oct 1820,9,1.3
Nov 1820,7.9,0.5
Dec 1820,9.7,15.6
Jan 1821,21.5,5.2
Feb 1821,4.3,3.9
Mar 1821,5.7,7.9
Apr 1821,9.2,10.1
May 1821,1.7,0
Jun 1821,1.8,10.3
Jul 1821,2.5,1.9
Aug 1821,4.8,16.6
Sep 1821,4.4,5.5
Oct 1821,18.8,11.2
Nov 1821,4.4,18.3
Dec 1821,0,8.4
Jan 1822,0,15.3
Feb 1822,0.9,27.8
Mar 1822,16.1,16.7
Apr 1822,13.5,14.3
May 1822,1.5,22.2
Jun 1822,5.6,12
Jul 1822,7.9,5.7
Aug 1822,2.1,23.8
Sep 1822,0,5.8
Oct 1822,0.4,14.9
Nov 1822,0,18.5
Dec 1822,0,2.3
Jan 1823,0,8.1
Feb 1823,0,19.3
Mar 1823,0.6,14.5
Apr 1823,0,20.1
May 1823,0,19.2
Jun 1823,0,32.2
Jul 1823,0.5,26.2
Aug 1823,0,31.6
Sep 1823,0,9.8
Oct 1823,0,55.9
Nov 1823,0,35.5
Dec 1823,20.4,47.2
Jan 1824,21.6,31.5
Feb 1824,10.8,33.5
Mar 1824,0,37.2
Apr 1824,19.4,65
May 1824,2.8,26.3
Jun 1824,0,68.8
Jul 1824,0,73.7
Aug 1824,1.4,58.8
Sep 1824,20.5,44.3
Oct 1824,25.2,43.6
Nov 1824,0,38.8
Dec 1824,0.8,23.2
Jan 1825,5,47.8
Feb 1825,15.5,56.4
Mar 1825,22.4,38.1
Apr 1825,3.8,29.9
May 1825,15.4,36.4
Jun 1825,15.4,57.9
Jul 1825,30.9,96.2
Aug 1825,25.4,26.4
Sep 1825,15.7,21.2
Oct 1825,15.6,40
Nov 1825,11.7,50
Dec 1825,22,45
Jan 1826,17.7,36.7
Feb 1826,18.2,25.6
Mar 1826,36.7,28.9
Apr 1826,24,28.4
May 1826,32.4,34.9
Jun 1826,37.1,22.4
Jul 1826,52.5,25.4
Aug 1826,39.6,34.5
Sep 1826,18.9,53.1
Oct 1826,50.6,36.4
Nov 1826,39.5,28
Dec 1826,68.1,31.5
Jan 1827,34.6,26.1
Feb 1827,47.4,31.7
Mar 1827,57.8,10.9
Apr 1827,46,25.8
May 1827,56.3,32.5
Jun 1827,56.7,20.7
Jul 1827,42.9,3.7
Aug 1827,53.7,20.2
Sep 1827,49.6,19.6
Oct 1827,57.2,35
Nov 1827,48.2,31.4
Dec 1827,46.1,26.1
Jan 1828,52.8,14.9
Feb 1828,64.4,27.5
Mar 1828,65,25.1
Apr 1828,61.1,30.6
May 1828,89.1,19.2
Jun 1828,98,26.6
Jul 1828,54.3,4.5
Aug 1828,76.4,19.4
Sep 1828,50.4,29.3
Oct 1828,54.7,10.8
Nov 1828,57,20.6
Dec 1828,46.6,25.9
Jan 1829,43,5.2
Feb 1829,49.4,9
Mar 1829,72.3,7.9
Apr 1829,95,9.7
May 1829,67.5,21.5
Jun 1829,73.9,4.3
Jul 1829,90.8,5.7
Aug 1829,78.3,9.2
Sep 1829,52.8,1.7
Oct 1829,57.2,1.8
Nov 1829,67.6,2.5
Dec 1829,56.5,4.8
Jan 1830,52.2,4.4
Feb 1830,72.1,18.8
Mar 1830,84.6,4.4
Apr 1830,107.1,0
May 1830,66.3,0
Jun 1830,65.1,0.9
Jul 1830,43.9,16.1
Aug 1830,50.7,13.5
Sep 1830,62.1,1.5
Oct 1830,84.4,5.6
Nov 1830,81.2,7.9
Dec 1830,82.1,2.1
Jan 1831,47.5,0
Feb 1831,50.1,0.4
Mar 1831,93.4,0
Apr 1831,54.6,0
May 1831,38.1,0
Jun 1831,33.4,0
Jul 1831,45.2,0.6
Aug 1831,54.9,0
Sep 1831,37.9,0
Oct 1831,46.2,0
Nov 1831,43.5,0.5
Dec 1831,28.9,0
Jan 1832,30.9,0
Feb 1832,55.5,0
Mar 1832,55.1,0
Apr 1832,26.9,20.4
May 1832,41.3,21.6
Jun 1832,26.7,10.8
Jul 1832,13.9,0
Aug 1832,8.9,19.4
Sep 1832,8.2,2.8
Oct 1832,21.1,0
Nov 1832,14.3,0
Dec 1832,27.5,1.4
Jan 1833,11.3,20.5
Feb 1833,14.9,25.2
Mar 1833,11.8,0
Apr 1833,2.8,0.8
May 1833,12.9,5
Jun 1833,1,15.5
Jul 1833,7,22.4
Aug 1833,5.7,3.8
Sep 1833,11.6,15.4
Oct 1833,7.5,15.4
Nov 1833,5.9,30.9
Dec 1833,9.9,25.4
Jan 1834,4.9,15.7
Feb 1834,18.1,15.6
Mar 1834,3.9,11.7
Apr 1834,1.4,22
May 1834,8.8,17.7
Jun 1834,7.8,18.2
Jul 1834,8.7,36.7
Aug 1834,4,24
Sep 1834,11.5,32.4
Oct 1834,24.8,37.1
Nov 1834,30.5,52.5
Dec 1834,34.5,39.6
Jan 1835,7.5,18.9
Feb 1835,24.5,50.6
Mar 1835,19.7,39.5
Apr 1835,61.5,68.1
May 1835,43.6,34.6
Jun 1835,33.2,47.4
Jul 1835,59.8,57.8
Aug 1835,59,46
Sep 1835,100.8,56.3
Oct 1835,95.2,56.7
Nov 1835,100,42.9
Dec 1835,77.5,53.7
Jan 1836,88.6,49.6
Feb 1836,107.6,57.2
Mar 1836,98.1,48.2
Apr 1836,142.9,46.1
May 1836,111.4,52.8
Jun 1836,124.7,64.4
Jul 1836,116.7,65
Aug 1836,107.8,61.1
Sep 1836,95.1,89.1
Oct 1836,137.4,98
Nov 1836,120.9,54.3
Dec 1836,206.2,76.4
Jan 1837,188,50.4
Feb 1837,175.6,54.7
Mar 1837,134.6,57
Apr 1837,138.2,46.6
May 1837,111.3,43
Jun 1837,158,49.4
Jul 1837,162.8,72.3
Aug 1837,134,95
Sep 1837,96.3,67.5
Oct 1837,123.7,73.9
Nov 1837,107,90.8
Dec 1837,129.8,78.3
Jan 1838,144.9,52.8
Feb 1838,84.8,57.2
Mar 1838,140.8,67.6
Apr 1838,126.6,56.5
May 1838,137.6,52.2
Jun 1838,94.5,72.1
Jul 1838,108.2,84.6
Aug 1838,78.8,107.1
Sep 1838,73.6,66.3
Oct 1838,90.8,65.1
Nov 1838,77.4,43.9
Dec 1838,79.8,50.7
Jan 1839,107.6,62.1
Feb 1839,102.5,84.4
Mar 1839,77.7,81.2
Apr 1839,61.8,82.1
May 1839,53.8,47.5
Jun 1839,54.6,50.1
Jul 1839,84.7,93.4
Aug 1839,131.2,54.6
Sep 1839,132.7,38.1
Oct 1839,90.8,33.4
Nov 1839,68.8,45.2
Dec 1839,63.6,54.9
Jan 1840,81.2,37.9
Feb 1840,87.7,46.2
Mar 1840,55.5,43.5
Apr 1840,65.9,28.9
May 1840,69.2,30.9
Jun 1840,48.5,55.5
Jul 1840,60.7,55.1
Aug 1840,57.8,26.9
Sep 1840,74,41.3
Oct 1840,49.8,26.7
Nov 1840,54.3,13.9
Dec 1840,53.7,8.9
Jan 1841,24,8.2
Feb 1841,29.9,21.1
Mar 1841,29.7,14.3
Apr 1841,42.6,27.5
May 1841,67.4,11.3
Jun 1841,55.7,14.9
Jul 1841,30.8,11.8
Aug 1841,39.3,2.8
Sep 1841,35.1,12.9
Oct 1841,28.5,1
Nov 1841,19.8,7
Dec 1841,38.8,5.7
Jan 1842,20.4,11.6
Feb 1842,22.1,7.5
Mar 1842,21.7,5.9
Apr 1842,26.9,9.9
May 1842,24.9,4.9
Jun 1842,20.5,18.1
Jul 1842,12.6,3.9
Aug 1842,26.5,1.4
Sep 1842,18.5,8.8
Oct 1842,38.1,7.8
Nov 1842,40.5,8.7
Dec 1842,17.6,4
